Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
MORC1	24	SLC4A10	18	3	4.15E-01	5.98E-01
MORC1	24	SLC8A3	20	2	1.00E+00	1.00E+00
MORC1	24	SLC9A4	11	1	1.00E+00	1.00E+00
MORC1	24	SPHKAP	39	4	1.00E+00	1.00E+00
MORC1	24	SST	2	1	2.00E-01	5.33E-01
MORC1	24	ST6GALNAC3	10	1	1.00E+00	1.00E+00
MORC1	24	STX11	4	2	5.60E-02	5.27E-01
MORC1	24	TCF23	4	1	3.61E-01	5.76E-01
MORC1	24	TCP10L2	7	1	5.46E-01	6.77E-01
MORC1	24	TGM3	10	1	1.00E+00	1.00E+00
MORC1	24	THAP1	4	1	3.61E-01	5.76E-01
MORC1	24	TKTL2	21	3	4.71E-01	6.31E-01
MORC1	24	TMEM132D	50	4	6.11E-01	7.30E-01
MORC1	24	TMPRSS15	16	2	6.79E-01	7.92E-01
MORC1	24	TNNI2	3	1	2.85E-01	5.49E-01
MORC1	24	TP53	197	21	1.00E+00	1.00E+00
MORC1	24	TPRA1	2	1	2.00E-01	5.33E-01
MORC1	24	TRIM63	8	2	2.01E-01	5.33E-01
MORC1	24	TTR	5	1	4.30E-01	6.05E-01
MORC1	24	TUBA3C	16	2	6.79E-01	7.92E-01
MORC1	24	UBE2NL	8	3	4.05E-02	5.27E-01
MORC1	24	UNC93A	8	2	2.01E-01	5.33E-01
MORC1	24	ZCCHC16	8	1	5.95E-01	7.16E-01
MORC1	24	ZFP36L2	7	1	5.46E-01	6.77E-01
MORC1	24	ZNF521	21	4	2.51E-01	5.33E-01
MORC1	24	ZNF676	15	1	1.00E+00	1.00E+00
MORC1	24	ZSCAN10	8	1	5.95E-01	7.16E-01
MRGPRX4	8	MYBPC1	13	1	3.80E-01	5.82E-01
MRGPRX4	8	NAV3	56	3	4.10E-01	5.93E-01
MRGPRX4	8	NOS1	19	2	1.36E-01	5.27E-01
MRGPRX4	8	NPY1R	10	1	3.06E-01	5.52E-01
MRGPRX4	8	NTNG2	8	1	2.52E-01	5.33E-01
MRGPRX4	8	OR10K1	7	1	2.24E-01	5.33E-01
MRGPRX4	8	OR10V1	5	1	1.65E-01	5.27E-01
MRGPRX4	8	OR2C3	13	2	6.93E-02	5.27E-01
MRGPRX4	8	OR2G6	14	1	4.03E-01	5.91E-01
MRGPRX4	8	OR4C45	8	1	2.52E-01	5.33E-01
MRGPRX4	8	OR51B5	9	1	2.79E-01	5.43E-01
MRGPRX4	8	OR5J2	10	1	3.06E-01	5.52E-01
MRGPRX4	8	OR5M1	4	1	1.34E-01	5.27E-01
MRGPRX4	8	OR5M9	11	1	3.31E-01	5.63E-01
MRGPRX4	8	OR6B1	7	1	2.24E-01	5.33E-01
MRGPRX4	8	POU3F3	8	1	2.52E-01	5.33E-01
MRGPRX4	8	PRR23C	6	2	1.51E-02	5.27E-01
MRGPRX4	8	PTEN	13	1	3.80E-01	5.82E-01
MRGPRX4	8	RB1	135	4	7.19E-01	8.23E-01
MRGPRX4	8	REG1B	13	1	3.80E-01	5.82E-01
MRGPRX4	8	RHAG	12	2	5.97E-02	5.27E-01
MRGPRX4	8	RNGTT	5	1	1.65E-01	5.27E-01
MRGPRX4	8	SELP	15	1	4.25E-01	6.01E-01
MRGPRX4	8	SLC4A10	18	2	1.24E-01	5.27E-01
MRGPRX4	8	SLC8A3	20	1	5.26E-01	6.65E-01
MRGPRX4	8	SLC9A4	11	1	3.31E-01	5.63E-01
MRGPRX4	8	SNCB	5	1	1.65E-01	5.27E-01
MRGPRX4	8	SPHKAP	39	1	1.00E+00	1.00E+00
MRGPRX4	8	ST6GALNAC3	10	1	3.06E-01	5.52E-01
MRGPRX4	8	TCP10L2	7	2	2.08E-02	5.27E-01
MRGPRX4	8	THAP1	4	1	1.34E-01	5.27E-01
MRGPRX4	8	TMEM132D	50	4	7.21E-02	5.27E-01
MRGPRX4	8	TMPRSS15	16	1	4.47E-01	6.14E-01
MRGPRX4	8	TP53	197	8	6.02E-01	7.21E-01
MRGPRX4	8	TUBA3C	16	2	1.01E-01	5.27E-01
MRGPRX4	8	UNC93A	8	2	2.72E-02	5.27E-01
MRGPRX4	8	ZCCHC16	8	1	2.52E-01	5.33E-01
MRGPRX4	8	ZCCHC5	11	1	3.31E-01	5.63E-01
MRGPRX4	8	ZNF521	21	2	1.61E-01	5.27E-01
MRGPRX4	8	ZNF676	15	1	4.25E-01	6.01E-01
MS4A14	13	MYBPC1	13	1	5.44E-01	6.77E-01
MS4A14	13	NAV3	56	5	3.16E-01	5.58E-01
MS4A14	13	NCBP2	2	1	1.11E-01	5.27E-01
MS4A14	13	NLRP14	19	3	8.23E-02	5.27E-01
MS4A14	13	NUDT19	7	1	3.41E-01	5.63E-01
MS4A14	13	OR2A14	6	1	3.00E-01	5.52E-01
MS4A14	13	OR2C3	13	1	5.44E-01	6.77E-01
MS4A14	13	OR51B5	9	1	4.16E-01	5.98E-01
MS4A14	13	OR52E4	8	1	3.80E-01	5.82E-01
MS4A14	13	OR52K1	10	1	4.51E-01	6.16E-01
MS4A14	13	OR5J2	10	1	4.51E-01	6.16E-01
MS4A14	13	OR5M1	4	1	2.11E-01	5.33E-01
MS4A14	13	PEG3	21	1	1.00E+00	1.00E+00
MS4A14	13	PGRMC1	5	1	2.56E-01	5.33E-01
MS4A14	13	PLSCR2	4	1	2.11E-01	5.33E-01
MS4A14	13	PRDM12	5	1	2.56E-01	5.33E-01
MS4A14	13	PRND	2	1	1.11E-01	5.27E-01
MS4A14	13	PROL1	7	1	3.41E-01	5.63E-01
MS4A14	13	PTF1A	9	2	8.62E-02	5.27E-01
MS4A14	13	PYY	2	1	1.11E-01	5.27E-01
MS4A14	13	RB1	135	8	1.00E+00	1.00E+00
MS4A14	13	REG1B	13	2	1.64E-01	5.27E-01
MS4A14	13	RGS13	5	1	2.56E-01	5.33E-01
MS4A14	13	SCGB1D1	3	1	1.62E-01	5.27E-01
MS4A14	13	SGCZ	13	1	5.44E-01	6.77E-01
MS4A14	13	SH2D1A	4	1	2.11E-01	5.33E-01
MS4A14	13	SIGLEC12	8	1	3.80E-01	5.82E-01
MS4A14	13	SLC9A4	11	1	4.84E-01	6.38E-01
MS4A14	13	SNCB	5	1	2.56E-01	5.33E-01
MS4A14	13	SPHKAP	39	3	4.70E-01	6.31E-01
MS4A14	13	TCF23	4	1	2.11E-01	5.33E-01
MS4A14	13	TCP10L2	7	1	3.41E-01	5.63E-01
MS4A14	13	TGM3	10	1	4.51E-01	6.16E-01
MS4A14	13	TKTL2	21	2	3.41E-01	5.63E-01
MS4A14	13	TMEM132D	50	4	4.89E-01	6.39E-01
MS4A14	13	TP53	197	11	6.92E-01	8.01E-01
MS4A14	13	TRIM63	8	3	6.93E-03	4.96E-01
MS4A14	13	TUBA3C	16	1	1.00E+00	1.00E+00
MS4A14	13	ZCCHC16	8	2	6.93E-02	5.27E-01
MS4A14	13	ZNF521	21	2	3.41E-01	5.63E-01
MYBPC1	13	NAV3	56	4	5.27E-01	6.66E-01
MYBPC1	13	NLRP14	19	1	1.00E+00	1.00E+00
MYBPC1	13	NOS1	19	2	2.96E-01	5.52E-01
MYBPC1	13	NR1I3	4	1	2.11E-01	5.33E-01
MYBPC1	13	OR10C1	2	1	1.11E-01	5.27E-01
MYBPC1	13	OR11G2	7	1	3.41E-01	5.63E-01
MYBPC1	13	OR2A14	6	1	3.00E-01	5.52E-01
MYBPC1	13	OR2G6	14	1	5.71E-01	6.97E-01
MYBPC1	13	OR4K17	12	1	5.15E-01	6.54E-01
MYBPC1	13	OR51B5	9	2	8.62E-02	5.27E-01
MYBPC1	13	OR52E4	8	1	3.80E-01	5.82E-01
MYBPC1	13	OR52K1	10	1	4.51E-01	6.16E-01
MYBPC1	13	OR5J2	10	1	4.51E-01	6.16E-01
MYBPC1	13	P2RX6	5	2	2.73E-02	5.27E-01
MYBPC1	13	PEG3	21	2	3.41E-01	5.63E-01
MYBPC1	13	POU3F3	8	1	3.80E-01	5.82E-01
MYBPC1	13	PRR23C	6	1	3.00E-01	5.52E-01
MYBPC1	13	PTF1A	9	1	4.16E-01	5.98E-01
MYBPC1	13	PTPRH	14	1	5.71E-01	6.97E-01
MYBPC1	13	RB1	135	9	5.67E-01	6.95E-01
MYBPC1	13	REG1B	13	1	5.44E-01	6.77E-01
MYBPC1	13	RNGTT	5	1	2.56E-01	5.33E-01
MYBPC1	13	SAMD1	15	2	2.07E-01	5.33E-01
MYBPC1	13	SCGB1D1	3	2	8.75E-03	5.11E-01
MYBPC1	13	SELL	9	1	4.16E-01	5.98E-01
MYBPC1	13	SELP	15	3	4.43E-02	5.27E-01
MYBPC1	13	SGCZ	13	2	1.64E-01	5.27E-01
MYBPC1	13	SLC4A10	18	2	2.73E-01	5.43E-01
MYBPC1	13	SLC8A3	20	2	3.18E-01	5.58E-01
MYBPC1	13	SPHKAP	39	3	4.70E-01	6.31E-01
MYBPC1	13	ST6GALNAC3	10	1	4.51E-01	6.16E-01
MYBPC1	13	TKTL2	21	1	1.00E+00	1.00E+00
MYBPC1	13	TMEM132D	50	3	1.00E+00	1.00E+00
MYBPC1	13	TMEM215	4	1	2.11E-01	5.33E-01
MYBPC1	13	TMPRSS15	16	1	1.00E+00	1.00E+00
MYBPC1	13	TP53	197	11	6.92E-01	8.01E-01
MYBPC1	13	TPRA1	2	1	1.11E-01	5.27E-01
MYBPC1	13	TRIM63	8	1	3.80E-01	5.82E-01
MYBPC1	13	TUBA3C	16	1	1.00E+00	1.00E+00
MYBPC1	13	UBE2NL	8	2	6.93E-02	5.27E-01
MYBPC1	13	UNC93A	8	1	3.80E-01	5.82E-01
MYBPC1	13	ZCCHC16	8	1	3.80E-01	5.82E-01
MYBPC1	13	ZFP36L2	7	1	3.41E-01	5.63E-01
MYBPC1	13	ZNF521	21	3	1.05E-01	5.27E-01
MYBPC1	13	ZSCAN10	8	2	6.93E-02	5.27E-01
NAV3	56	NCBP2	2	1	4.32E-01	6.05E-01
NAV3	56	NLRP14	19	12	2.10E-04	2.63E-01
NAV3	56	NOS1	19	6	4.20E-01	6.01E-01
NAV3	56	NPY1R	10	4	2.66E-01	5.43E-01
NAV3	56	NTNG2	8	4	1.04E-01	5.27E-01
NAV3	56	NUDT19	7	2	6.82E-01	7.94E-01
NAV3	56	OCM2	3	1	5.73E-01	6.97E-01
NAV3	56	OR10C1	2	1	4.32E-01	6.05E-01
NAV3	56	OR10J1	12	4	4.95E-01	6.45E-01
NAV3	56	OR10K1	7	3	3.67E-01	5.78E-01
NAV3	56	OR10V1	5	2	5.99E-01	7.17E-01
NAV3	56	OR11G2	7	1	1.00E+00	1.00E+00
NAV3	56	OR2A14	6	4	3.34E-02	5.27E-01
NAV3	56	OR2C3	13	5	3.16E-01	5.58E-01
NAV3	56	OR2G6	14	3	1.00E+00	1.00E+00
NAV3	56	OR2J2	4	2	2.53E-01	5.33E-01
NAV3	56	OR2T2	8	3	4.10E-01	5.93E-01
NAV3	56	OR4C45	8	1	6.83E-01	7.96E-01
NAV3	56	OR4K17	12	2	7.35E-01	8.39E-01
NAV3	56	OR4N4	8	2	1.00E+00	1.00E+00
NAV3	56	OR51B5	9	5	4.23E-02	5.27E-01
NAV3	56	OR52E4	8	2	1.00E+00	1.00E+00
NAV3	56	OR52K1	10	2	1.00E+00	1.00E+00
NAV3	56	OR5J2	10	4	2.66E-01	5.43E-01
NAV3	56	OR5M1	4	2	2.53E-01	5.33E-01
NAV3	56	OR5M11	7	1	1.00E+00	1.00E+00
NAV3	56	OR5M9	11	5	1.44E-01	5.27E-01
NAV3	56	OR6B1	7	2	6.82E-01	7.94E-01
NAV3	56	OR8B4	12	2	7.35E-01	8.39E-01
NAV3	56	OR8H2	8	3	4.10E-01	5.93E-01
NAV3	56	OR9Q2	8	2	1.00E+00	1.00E+00
NAV3	56	P2RX6	5	2	5.99E-01	7.17E-01
NAV3	56	PEG3	21	5	1.00E+00	1.00E+00
NAV3	56	PGRMC1	5	2	5.99E-01	7.17E-01
NAV3	56	PLSCR2	4	1	1.00E+00	1.00E+00
NAV3	56	POU3F3	8	1	6.83E-01	7.96E-01
NAV3	56	PRDM12	5	4	1.36E-02	5.27E-01
NAV3	56	PRND	2	1	4.32E-01	6.05E-01
NAV3	56	PROL1	7	3	3.67E-01	5.78E-01
NAV3	56	PRR23C	6	1	1.00E+00	1.00E+00
NAV3	56	PTEN	13	2	7.40E-01	8.45E-01
NAV3	56	PTF1A	9	3	6.92E-01	8.01E-01
NAV3	56	PTPRH	14	3	1.00E+00	1.00E+00
NAV3	56	RAET1E	2	1	4.32E-01	6.05E-01
NAV3	56	RB1	135	40	4.14E-02	5.27E-01
NAV3	56	RD3	3	2	1.50E-01	5.27E-01
NAV3	56	REG1B	13	5	3.16E-01	5.58E-01
NAV3	56	RGS13	5	2	5.99E-01	7.17E-01
NAV3	56	RHAG	12	2	7.35E-01	8.39E-01
NAV3	56	RNGTT	5	2	5.99E-01	7.17E-01
NAV3	56	SAMD1	15	4	7.65E-01	8.71E-01
NAV3	56	SCGB1D1	3	2	1.50E-01	5.27E-01
NAV3	56	SELL	9	1	4.59E-01	6.21E-01
NAV3	56	SELP	15	1	1.25E-01	5.27E-01
NAV3	56	SGCZ	13	4	5.27E-01	6.66E-01
NAV3	56	SH2D1A	4	1	1.00E+00	1.00E+00
NAV3	56	SIGLEC12	8	1	6.83E-01	7.96E-01
NAV3	56	SLC4A10	18	2	2.54E-01	5.33E-01
NAV3	56	SLC8A3	20	8	1.06E-01	5.27E-01
NAV3	56	SLC9A4	11	5	1.44E-01	5.27E-01
NAV3	56	SNCB	5	2	5.99E-01	7.17E-01
NAV3	56	SPHKAP	39	10	8.40E-01	9.53E-01
NAV3	56	SRMS	5	1	1.00E+00	1.00E+00
NAV3	56	SST	2	1	4.32E-01	6.05E-01
NAV3	56	ST6GALNAC3	10	3	7.10E-01	8.15E-01
NAV3	56	STX11	4	1	1.00E+00	1.00E+00
NAV3	56	TCF21	4	1	1.00E+00	1.00E+00
NAV3	56	TCF23	4	3	4.68E-02	5.27E-01
NAV3	56	TCP10L2	7	2	6.82E-01	7.94E-01
NAV3	56	TGM3	10	2	1.00E+00	1.00E+00
NAV3	56	THAP1	4	1	1.00E+00	1.00E+00
NAV3	56	TKTL2	21	8	1.80E-01	5.33E-01
NAV3	56	TMEM132D	50	12	1.00E+00	1.00E+00
NAV3	56	TMEM134	2	1	4.32E-01	6.05E-01
NAV3	56	TMEM215	4	1	1.00E+00	1.00E+00
NAV3	56	TMPRSS15	16	6	2.32E-01	5.33E-01
NAV3	56	TP53	197	53	4.30E-02	5.27E-01
NAV3	56	TRIM63	8	3	4.10E-01	5.93E-01
NAV3	56	TTR	5	1	1.00E+00	1.00E+00
NAV3	56	TUBA3C	16	5	5.50E-01	6.79E-01
NAV3	56	UBE2NL	8	2	1.00E+00	1.00E+00
NAV3	56	UNC93A	8	2	1.00E+00	1.00E+00
NAV3	56	ZCCHC16	8	3	4.10E-01	5.93E-01
NAV3	56	ZCCHC5	11	4	4.71E-01	6.31E-01
NAV3	56	ZFP36L2	7	3	3.67E-01	5.78E-01
NAV3	56	ZNF521	21	7	4.24E-01	6.01E-01
NAV3	56	ZNF676	15	4	7.65E-01	8.71E-01
NAV3	56	ZSCAN10	8	3	4.10E-01	5.93E-01
NCBP2	2	NLRP14	19	1	1.60E-01	5.27E-01
NCBP2	2	NUDT19	7	1	6.06E-02	5.27E-01
NCBP2	2	OR5J2	10	1	8.60E-02	5.27E-01
NCBP2	2	PRND	2	1	1.75E-02	5.27E-01
NCBP2	2	RB1	135	2	5.15E-01	6.54E-01
NCBP2	2	SLC9A4	11	1	9.44E-02	5.27E-01
NCBP2	2	TMEM132D	50	2	4.73E-02	5.27E-01
NCBP2	2	TP53	197	2	1.00E+00	1.00E+00
NLRP14	19	NOS1	19	2	6.63E-01	7.77E-01
NLRP14	19	NPY1R	10	2	1.98E-01	5.33E-01
NLRP14	19	NTNG2	8	3	2.12E-02	5.27E-01
NLRP14	19	NUDT19	7	2	1.07E-01	5.27E-01
NLRP14	19	OCM2	3	1	2.31E-01	5.33E-01
NLRP14	19	OR10J1	12	1	1.00E+00	1.00E+00
NLRP14	19	OR10V1	5	1	3.55E-01	5.71E-01
NLRP14	19	OR11G2	7	1	4.61E-01	6.21E-01
NLRP14	19	OR2A14	6	1	4.10E-01	5.93E-01
NLRP14	19	OR2C3	13	2	2.96E-01	5.52E-01
NLRP14	19	OR2G6	14	2	3.29E-01	5.63E-01
NLRP14	19	OR2T2	8	1	5.07E-01	6.52E-01
NLRP14	19	OR4C45	8	1	5.07E-01	6.52E-01
NLRP14	19	OR4N4	8	1	5.07E-01	6.52E-01
NLRP14	19	OR51B5	9	1	5.50E-01	6.79E-01
NLRP14	19	OR52K1	10	1	5.89E-01	7.11E-01
NLRP14	19	OR5J2	10	3	4.07E-02	5.27E-01
NLRP14	19	OR5M1	4	1	2.96E-01	5.52E-01
NLRP14	19	OR5M9	11	1	1.00E+00	1.00E+00
NLRP14	19	OR6B1	7	1	4.61E-01	6.21E-01
NLRP14	19	OR8H2	8	2	1.36E-01	5.27E-01
NLRP14	19	P2RX6	5	2	5.67E-02	5.27E-01
NLRP14	19	PEG3	21	2	6.89E-01	8.00E-01
NLRP14	19	PGRMC1	5	1	3.55E-01	5.71E-01
NLRP14	19	PRDM12	5	2	5.67E-02	5.27E-01
NLRP14	19	PRND	2	1	1.60E-01	5.27E-01
NLRP14	19	PROL1	7	2	1.07E-01	5.27E-01
NLRP14	19	PTEN	13	1	1.00E+00	1.00E+00
NLRP14	19	PTF1A	9	2	1.67E-01	5.29E-01
NLRP14	19	RB1	135	16	2.65E-02	5.27E-01
NLRP14	19	REG1B	13	2	2.96E-01	5.52E-01
NLRP14	19	RHAG	12	1	1.00E+00	1.00E+00
NLRP14	19	SAMD1	15	2	3.61E-01	5.76E-01
NLRP14	19	SELP	15	1	1.00E+00	1.00E+00
NLRP14	19	SGCZ	13	1	1.00E+00	1.00E+00
NLRP14	19	SIGLEC12	8	1	5.07E-01	6.52E-01
NLRP14	19	SLC4A10	18	2	6.51E-01	7.64E-01
NLRP14	19	SLC8A3	20	4	7.04E-02	5.27E-01
NLRP14	19	SLC9A4	11	2	2.30E-01	5.33E-01
NLRP14	19	SNCB	5	1	3.55E-01	5.71E-01
NLRP14	19	SPHKAP	39	7	2.60E-02	5.27E-01
NLRP14	19	SRMS	5	1	3.55E-01	5.71E-01
NLRP14	19	ST6GALNAC3	10	1	5.89E-01	7.11E-01
NLRP14	19	TCF23	4	2	3.58E-02	5.27E-01
NLRP14	19	TCP10L2	7	2	1.07E-01	5.27E-01
NLRP14	19	THAP1	4	1	2.96E-01	5.52E-01
NLRP14	19	TKTL2	21	3	3.95E-01	5.88E-01
NLRP14	19	TMEM132D	50	6	3.83E-01	5.84E-01
NLRP14	19	TMEM134	2	1	1.60E-01	5.27E-01
NLRP14	19	TMEM155	2	1	1.60E-01	5.27E-01
NLRP14	19	TNNI2	3	1	2.31E-01	5.33E-01
NLRP14	19	TP53	197	17	1.00E+00	1.00E+00
NLRP14	19	TPRA1	2	1	1.60E-01	5.27E-01
NLRP14	19	TRIM63	8	3	2.12E-02	5.27E-01
NLRP14	19	TTR	5	1	3.55E-01	5.71E-01
NLRP14	19	TUBA3C	16	1	1.00E+00	1.00E+00
NLRP14	19	UBE2NL	8	1	5.07E-01	6.52E-01
NLRP14	19	ZCCHC16	8	1	5.07E-01	6.52E-01
NLRP14	19	ZCCHC5	11	1	1.00E+00	1.00E+00
NLRP14	19	ZFP36L2	7	1	4.61E-01	6.21E-01
NLRP14	19	ZNF521	21	3	3.95E-01	5.88E-01
NLRP14	19	ZNF676	15	2	3.61E-01	5.76E-01
NLRP14	19	ZSCAN10	8	2	1.36E-01	5.27E-01
NOS1	19	NPY1R	10	1	5.89E-01	7.11E-01
NOS1	19	NR1I3	4	1	2.96E-01	5.52E-01
NOS1	19	NTNG2	8	1	5.07E-01	6.52E-01
NOS1	19	OR11G2	7	1	4.61E-01	6.21E-01
NOS1	19	OR2A14	6	1	4.10E-01	5.93E-01
NOS1	19	OR2C3	13	1	1.00E+00	1.00E+00
NOS1	19	OR2G6	14	1	1.00E+00	1.00E+00
NOS1	19	OR4C45	8	1	5.07E-01	6.52E-01
NOS1	19	OR4K17	12	3	6.68E-02	5.27E-01
NOS1	19	OR4N4	8	1	5.07E-01	6.52E-01
NOS1	19	OR52E4	8	1	5.07E-01	6.52E-01
NOS1	19	OR52K1	10	2	1.98E-01	5.33E-01
NOS1	19	OR5J2	10	1	5.89E-01	7.11E-01
NOS1	19	OR5M1	4	2	3.58E-02	5.27E-01
NOS1	19	OR5M11	7	2	1.07E-01	5.27E-01
NOS1	19	OR5M9	11	3	5.29E-02	5.27E-01
NOS1	19	OR6B1	7	1	4.61E-01	6.21E-01
NOS1	19	OR8B4	12	2	2.63E-01	5.41E-01
NOS1	19	OR8H2	8	1	5.07E-01	6.52E-01
NOS1	19	OR9Q2	8	2	1.36E-01	5.27E-01
NOS1	19	P2RX6	5	3	4.45E-03	4.96E-01
NOS1	19	PEG3	21	6	3.67E-03	4.96E-01
NOS1	19	POU3F3	8	2	1.36E-01	5.27E-01
NOS1	19	PROL1	7	2	1.07E-01	5.27E-01
NOS1	19	PTEN	13	3	8.23E-02	5.27E-01
NOS1	19	PTPRH	14	1	1.00E+00	1.00E+00
NOS1	19	RAET1E	2	1	1.60E-01	5.27E-01
NOS1	19	RB1	135	13	4.70E-01	6.31E-01
NOS1	19	REG1B	13	2	2.96E-01	5.52E-01
NOS1	19	RHAG	12	2	2.63E-01	5.41E-01
NOS1	19	RNGTT	5	1	3.55E-01	5.71E-01
NOS1	19	SAMD1	15	1	1.00E+00	1.00E+00
NOS1	19	SELL	9	1	5.50E-01	6.79E-01
NOS1	19	SELP	15	1	1.00E+00	1.00E+00
NOS1	19	SGCZ	13	3	8.23E-02	5.27E-01
NOS1	19	SLC4A10	18	2	6.51E-01	7.64E-01
NOS1	19	SLC8A3	20	2	6.76E-01	7.90E-01
NOS1	19	SLC9A4	11	1	1.00E+00	1.00E+00
NOS1	19	SPHKAP	39	5	3.35E-01	5.63E-01
NOS1	19	SRMS	5	1	3.55E-01	5.71E-01
NOS1	19	ST6GALNAC3	10	1	5.89E-01	7.11E-01
NOS1	19	STX11	4	1	2.96E-01	5.52E-01
NOS1	19	TGM3	10	1	5.89E-01	7.11E-01
NOS1	19	THAP1	4	1	2.96E-01	5.52E-01
NOS1	19	TKTL2	21	4	8.23E-02	5.27E-01
NOS1	19	TMEM132D	50	6	3.83E-01	5.84E-01
NOS1	19	TMEM215	4	1	2.96E-01	5.52E-01
NOS1	19	TMPRSS15	16	3	1.37E-01	5.27E-01
NOS1	19	TNNI2	3	1	2.31E-01	5.33E-01
NOS1	19	TP53	197	18	4.83E-01	6.38E-01
NOS1	19	TPRA1	2	1	1.60E-01	5.27E-01
NOS1	19	TRIM63	8	1	5.07E-01	6.52E-01
NOS1	19	TTR	5	1	3.55E-01	5.71E-01
NOS1	19	TUBA3C	16	1	1.00E+00	1.00E+00
NOS1	19	UBE2NL	8	2	1.36E-01	5.27E-01
NOS1	19	UNC93A	8	1	5.07E-01	6.52E-01
NOS1	19	ZCCHC16	8	1	5.07E-01	6.52E-01
NOS1	19	ZCCHC5	11	2	2.30E-01	5.33E-01
NOS1	19	ZFP36L2	7	1	4.61E-01	6.21E-01
NOS1	19	ZNF521	21	3	3.95E-01	5.88E-01
NOS1	19	ZSCAN10	8	2	1.36E-01	5.27E-01
NPY1R	10	NR1I3	4	1	1.65E-01	5.27E-01
NPY1R	10	NTNG2	8	2	4.22E-02	5.27E-01
NPY1R	10	NUDT19	7	3	1.96E-03	4.80E-01
NPY1R	10	OR10J1	12	1	4.24E-01	6.01E-01
NPY1R	10	OR10V1	5	1	2.03E-01	5.33E-01
NPY1R	10	OR2A14	6	1	2.38E-01	5.33E-01
NPY1R	10	OR2C3	13	3	1.39E-02	5.27E-01
NPY1R	10	OR2G6	14	1	4.76E-01	6.36E-01
NPY1R	10	OR4K17	12	1	4.24E-01	6.01E-01
NPY1R	10	OR5M11	7	1	2.73E-01	5.43E-01
NPY1R	10	OR6B1	7	1	2.73E-01	5.43E-01
NPY1R	10	PEG3	21	1	1.00E+00	1.00E+00
NPY1R	10	POU3F3	8	1	3.06E-01	5.52E-01
NPY1R	10	PRDM12	5	2	1.62E-02	5.27E-01
NPY1R	10	PRR23C	6	1	2.38E-01	5.33E-01
NPY1R	10	PTEN	13	1	4.51E-01	6.16E-01
NPY1R	10	PTF1A	9	2	5.30E-02	5.27E-01
NPY1R	10	RB1	135	8	2.06E-01	5.33E-01
NPY1R	10	RHAG	12	2	9.04E-02	5.27E-01
NPY1R	10	SAMD1	15	1	5.01E-01	6.48E-01
NPY1R	10	SLC4A10	18	2	1.82E-01	5.33E-01
NPY1R	10	SLC8A3	20	3	4.67E-02	5.27E-01
NPY1R	10	SLC9A4	11	1	3.96E-01	5.88E-01
NPY1R	10	SPHKAP	39	3	3.81E-01	5.84E-01
NPY1R	10	SRMS	5	1	2.03E-01	5.33E-01
NPY1R	10	ST6GALNAC3	10	1	3.67E-01	5.78E-01
NPY1R	10	TBCA	1	1	4.39E-02	5.27E-01
NPY1R	10	TCP10L2	7	1	2.73E-01	5.43E-01
NPY1R	10	TKTL2	21	2	2.32E-01	5.33E-01
NPY1R	10	TMEM132D	50	2	1.00E+00	1.00E+00
NPY1R	10	TNNI2	3	1	1.26E-01	5.27E-01
NPY1R	10	TP53	197	10	3.65E-01	5.78E-01
NPY1R	10	ZNF676	15	2	1.34E-01	5.27E-01
NR1I3	4	OCM2	3	1	5.19E-02	5.27E-01
NR1I3	4	OR10J1	12	1	1.96E-01	5.33E-01
NR1I3	4	OR10V1	5	1	8.54E-02	5.27E-01
NR1I3	4	OR2C3	13	1	2.11E-01	5.33E-01
NR1I3	4	OR2G6	14	1	2.25E-01	5.33E-01
NR1I3	4	OR4K17	12	1	1.96E-01	5.33E-01
NR1I3	4	OR5M11	7	1	1.18E-01	5.27E-01
NR1I3	4	OR9Q2	8	1	1.34E-01	5.27E-01
NR1I3	4	POU3F3	8	1	1.34E-01	5.27E-01
NR1I3	4	PTPRH	14	2	1.96E-02	5.27E-01
NR1I3	4	RB1	135	1	3.07E-01	5.52E-01
NR1I3	4	SLC8A3	20	1	3.09E-01	5.53E-01
NR1I3	4	SLC9A4	11	1	1.81E-01	5.33E-01
NR1I3	4	ST6GALNAC3	10	1	1.65E-01	5.27E-01
NR1I3	4	STX11	4	1	6.88E-02	5.27E-01
NR1I3	4	TBCA	1	1	1.75E-02	5.27E-01
NR1I3	4	TKTL2	21	1	3.22E-01	5.62E-01
NR1I3	4	TMEM215	4	1	6.88E-02	5.27E-01
NR1I3	4	TP53	197	3	4.45E-01	6.14E-01
NR1I3	4	ZNF521	21	1	3.22E-01	5.62E-01
NTNG2	8	NUDT19	7	2	2.08E-02	5.27E-01
NTNG2	8	OR10K1	7	1	2.24E-01	5.33E-01
NTNG2	8	OR2C3	13	4	4.00E-04	2.78E-01
NTNG2	8	OR2J2	4	1	1.34E-01	5.27E-01
NTNG2	8	OR2T2	8	1	2.52E-01	5.33E-01
NTNG2	8	OR4K17	12	1	3.56E-01	5.71E-01
NTNG2	8	OR4N4	8	2	2.72E-02	5.27E-01
NTNG2	8	OR5J2	10	1	3.06E-01	5.52E-01
NTNG2	8	OR5M9	11	1	3.31E-01	5.63E-01
NTNG2	8	OR8B4	12	1	3.56E-01	5.71E-01
NTNG2	8	OR9Q2	8	1	2.52E-01	5.33E-01
NTNG2	8	PRDM12	5	2	1.03E-02	5.16E-01
